Ad-Supported MAU (mil),Ad-Supported MAU change (mil),Premium Users (mil),Premium Users change(mil),Total Monthly Active Users (mil),Total Monthly Active Users change(mil),Total Revenue (m€),Total Revenue Q. Change (m€),Year,Quarter
99,9,75,4,170,13,"1,139.00",-10,2018,1
101,2,83,8,180,10,"1,273.00",134,2018,2
109,8,87,4,191,11,"1,352.00",79,2018,3
116,7,96,9,207,16,"1,495.00",143,2018,4
123,7,100,4,217,10,"1,511.00",16,2019,1
129,6,108,8,232,15,"1,667.00",156,2019,2
141,12,113,5,248,16,"1,731.00",64,2019,3
153,12,124,11,271,23,"1,855.00",124,2019,4
163,10,130,6,286,15,"1,848.00",-7,2020,1
170,7,138,8,299,13,"1,889.00",41,2020,2
185,15,144,6,320,21,"1,975.00",86,2020,3
199,14,155,11,345,25,"2,168.00",193,2020,4
208,9,158,3,356,11,"2,147.00",-21,2021,1
210,2,165,7,365,9,"2,331.00",184,2021,2
220,10,172,7,381,16,"2,501.00",170,2021,3
236,16,180,8,406,25,"2,689.00",188,2021,4
